0	173.0000	original lat/lon values
10000000	1600000	false northing/easting values
STREET	NORTHING	EASTING	HOUSE #
			
ORIENTAL PDE	5427357.33	1750217.53	 
ORIENTAL PDE	5427361.28	1750244.85	 
ORIENTAL PDE	5427365.46	1750263.81	 
ORIENTAL PDE	5427367.26	1750273.81	245
ORIENTAL PDE	5427372.01	1750302.22	245
ORIENTAL PDE	5427384.18	1750307.74	 
ORIENTAL PDE	5427363.5	1750324.61	248
ORIENTAL PDE	5427383.43	1750333.45	 
ORIENTAL PDE	5427390.97	1750362.53	 
ORIENTAL PDE	5427404.33	1750403.29	 
ORIENTAL PDE	5427417.39	1750421.8	 
ORIENTAL PDE	5427430.78	1750435.05	 
ORIENTAL PDE	5427453.3	1750448.22	 
ORIENTAL PDE	5427478.01	1750464.49	 
ORIENTAL PDE	5427507.19	1750476.14	 
ORIENTAL PDE	5427563.92	1750494.95	 
ORIENTAL PDE	5427589.75	1750516.6	 
ORIENTAL PDE	5427626.03	1750579.9	 
ORIENTAL PDE	5427643.79	1750609.46	 
ORIENTAL PDE	5427662.68	1750641.26	 
ORIENTAL PDE	5427688.13	1750680.97	 
ORIENTAL PDE	5427857.06	1750938.34	 
ORIENTAL PDE-LOOP	5427339.11	1750134.82	 
PANAMA ST	5428187.61	1748780.42	 
PIPITEA ST	5429129.98	1748909.54	 
ROSINA FELL LANE	5428416.96	1748630.52	 
ROSINA FELL LANE	5428418.31	1748630.81	 
SALAMANCA RD	5427669.21	1748339.96	 
SHELL LANE	5428353.67	1748620.21	 
STOUT ST	5428555.38	1748823.59	 
STOUT ST	5428619.24	1748953.16	 
STOUT ST	5428676.76	1748980.31	 
SWAN LANE	5427101.54	1748658.29	 
SWAN LANE	5427108.53	1748661.59	 
SWAN LANE	5427094.13	1748696.98	 
SWAN LANE	5427088.48	1748705.79	 
TARANAKI ST	5427491.34	1749047.13	4
TARANAKI ST	5427408.7	1749032.13	17
TARANAKI ST	5427365.19	1748981.83	24
TARANAKI ST	5427252.58	1748963.57	 
TARANAKI ST	5427199.65	1748930.03	 
TARANAKI ST	5427178.54	1748908.14	 
TARANAKI ST	5426955.07	1748821.23	 
TARANAKI ST	5426891.39	1748795.62	 
TARANAKI ST	5426874.83	1748760.24	148
TARANAKI ST	5426738.06	1748703.32	190
TENNYSON ST	5426964.82	1749140.45	 
THE TERRACE	5428708.47	1748687.28	 
THE TERRACE	5428659.08	1748689.37	23
THE TERRACE	5428591.26	1748681.5	43
THE TERRACE	5428562.9	1748676.87	59
THE TERRACE	5428527	1748650.82	56
THE TERRACE	5428480.94	1748660.45	 
THE TERRACE	5428478.85	1748660.15	 
THE TERRACE	5428408.38	1748647.91	 
THE TERRACE	5428249.88	1748595.93	 
THE TERRACE	5428199.3	1748597.9	131
THE TERRACE	5428197.81	1748597.15	131
THE TERRACE	5428080.69	1748560.57	155
THE TERRACE	5427782.64	1748429.78	 
THE TERRACE	5427684.18	1748375.88	 
THORNDON QUAY	5428865.29	1749119.71	 
THORNDON QUAY	5429039.81	1749213.47	34
THORNDON QUAY	5429078.17	1749232.88	65
THORNDON QUAY	5429262.48	1749368.1	121
THORNDON QUAY	5429450.22	1749280.17	165
THORNDON QUAY	5429568.9	1749237.17	191
THORNDON QUAY	5429584.51	1749250.81	 
THORNDON QUAY	5429752.6	1749172.68	 
THORNDON QUAY	5429972.66	1749211.35	 
TINAKORI RD	5428779.79	1748160.54	342
TORY ST	5427284.03	1749210.78	 
TORY ST	5427184.09	1749152.48	24
TORY ST	5427123.93	1749139.49	 
TORY ST	5427107.96	1749131.73	39
TORY ST	5427091.84	1749106.94	46
TORY ST	5426842.57	1748995.66	118
TORY ST	5426659.81	1748911.34	 
VICTORIA ST	5427976.79	1748852.96	 
VICTORIA ST	5427903.72	1748809.42	18
VICTORIA ST	5427901.33	1748808.32	18
VICTORIA ST	5427795.07	1748770.3	43
VICTORIA ST	5427773.78	1748763.23	57
VICTORIA ST	5427765.04	1748743.83	58
VICTORIA ST	5427708.27	1748717.48	74
VICTORIA ST	5427521.5	1748695.21	 
VICTORIA ST	5427519.92	1748688.99	 
VICTORIA ST	5427492.99	1748692.39	 
VICTORIA ST	5427477.34	1748677.82	 
VICTORIA ST	5427453.19	1748689.32	 
VICTORIA ST	5427430.73	1748682.05	127
VICTORIA ST	5427390.36	1748659.66	 
VICTORIA ST	5427317.05	1748606.19	167
VICTORIA ST	5426937.2	1748387.55	235
VICTORIA ST-#175 SLIP	5427276.43	1748590.01	 
VICTORIA ST-#175 SLIP	5427244.1	1748575.04	 
VIVIAN ST	5426737.49	1749212.32	 
VIVIAN ST	5426730.52	1749185.38	 
VIVIAN ST	5426826.05	1748981.44	41
VIVIAN ST	5426853.78	1748953.94	58
VIVIAN ST	5426923.98	1748759.26	105
VIVIAN ST	5426953.88	1748724.7	124
VIVIAN ST	5426960.61	1748673.27	139
VIVIAN ST	5426985.04	1748652.97	146
VIVIAN ST	5426985.74	1748626.29	149
VIVIAN ST	5426999.17	1748620.86	 
VIVIAN ST	5427002.44	1748614.81	 
VIVIAN ST	5427006.56	1748603.38	 
VIVIAN ST	5427064.66	1748476.15	194
WAKEFIELD ST	5427250.93	1749286.6	 
WAKEFIELD ST	5427292.5	1749192.96	233
WAKEFIELD ST	5427384.41	1749051.65	175
WAKEFIELD ST	5427366.89	1749029.72	 
WAKEFIELD ST	5427451.96	1748953.52	111
WAKEFIELD ST	5427501.6	1748890.85	111
WAKEFIELD ST	5427502.85	1748888.58	111
WAKEFIELD ST	5427507.76	1748852.39	132
WAKEFIELD ST	5427531.35	1748871.47	 
WAKEFIELD ST	5427557.71	1748828.57	5
WAKEFIELD ST	5427571.36	1748786.85	 
WAKEFIELD ST	5427614.06	1748768.5	 
WAKEFIELD ST	5427623.31	1748735.62	 
WARING TAYLOR ST	5428339.94	1748920.51	 
