Northing	 Easting	       	 Latitude	 Longitude
       	5427729.5	1748666.6	       	41 17 17.508 S	174 46 31.523 E
       	5427728.1	1748669.1	       	41 17 17.549 S	174 46 31.630 E
       	5427704.3	1748686.7	       	41 17 18.310 S	174 46 32.407 E
       	5428795.6	1748910.4	       	41 16 42.788 S	174 46 41.061 E
       	5428830.3	1748916.1	       	41 16 41.662 S	174 46 41.274 E
       	5428922.5	1748874.3	       	41 16 38.699 S	174 46 39.397 E
       	5428936.9	1748894.3	       	41 16 38.221 S	174 46 40.244 E
       	5428984.3	1748882.1	       	41 16 36.690 S	174 46 39.676 E
       	5429117.0	1748890.4	       	41 16 32.386 S	174 46 39.919 E
       	5429200.0	1748894.4	       	41 16 29.694 S	174 46 40.018 E
       	5429246.3	1748911.8	       	41 16 28.181 S	174 46 40.722 E
       	5429258.8	1748897.3	       	41 16 27.784 S	174 46 40.089 E
       	5429297.3	1748898.6	       	41 16 26.535 S	174 46 40.113 E
       	5429298.0	1748911.9	       	41 16 26.506 S	174 46 40.680 E
       	5429370.3	1748898.5	       	41 16 24.169 S	174 46 40.042 E
       	5429060.2	1749077.3	       	41 16 34.103 S	174 46 47.999 E
       	5428953.0	1749053.5	       	41 16 37.593 S	174 46 47.067 E
       	5429250.7	1749017.0	       	41 16 27.968 S	174 46 45.240 E
       	5429156.9	1749057.0	       	41 16 30.981 S	174 46 47.042 E
       	5429435.1	1748907.5	       	41 16 22.063 S	174 46 40.370 E
       	5427651.1	1748577.7	       	41 17 20.106 S	174 46 27.769 E
       	5427245.7	1749491.6	       	41 17 32.639 S	174 47 07.403 E
       	5427255.8	1749489.5	       	41 17 32.314 S	174 47 07.301 E
       	5427271.5	1749531.1	       	41 17 31.777 S	174 47 09.075 E
       	5427289.1	1749550.1	       	41 17 31.193 S	174 47 09.875 E
       	5427299.9	1749562.0	       	41 17 30.834 S	174 47 10.378 E
       	5427311.0	1749572.6	       	41 17 30.469 S	174 47 10.824 E
       	5427327.8	1749594.4	       	41 17 29.908 S	174 47 11.746 E
       	5427339.8	1749667.4	       	41 17 29.471 S	174 47 14.874 E
       	5427334.7	1749697.6	       	41 17 29.617 S	174 47 16.177 E
       	5427359.9	1749868.0	       	41 17 28.685 S	174 47 23.476 E
       	5427392.8	1749877.8	       	41 17 27.615 S	174 47 23.869 E
       	5427408.8	1749919.0	       	41 17 27.068 S	174 47 25.624 E
       	5427415.2	1749932.0	       	41 17 26.851 S	174 47 26.176 E
       	5427433.7	1749977.5	       	41 17 26.220 S	174 47 28.116 E
       	5427434.0	1749982.7	       	41 17 26.208 S	174 47 28.341 E
       	5427433.7	1750009.6	       	41 17 26.199 S	174 47 29.496 E
       	5427426.7	1750006.2	       	41 17 26.429 S	174 47 29.354 E
       	5427407.9	1750033.8	       	41 17 27.021 S	174 47 30.556 E
       	5427400.8	1750046.6	       	41 17 27.239 S	174 47 31.114 E
       	5427390.7	1750062.7	       	41 17 27.558 S	174 47 31.816 E
       	5427373.4	1750095.9	       	41 17 28.096 S	174 47 33.256 E
       	5427368.9	1750103.5	       	41 17 28.237 S	174 47 33.587 E
       	5427372.8	1750114.7	       	41 17 28.104 S	174 47 34.065 E
       	5427362.9	1750116.6	       	41 17 28.422 S	174 47 34.157 E
       	5427341.7	1750116.8	       	41 17 29.111 S	174 47 34.182 E
       	5427357.3	1750165.1	       	41 17 28.571 S	174 47 36.247 E
       	5427356.9	1750189.0	       	41 17 28.569 S	174 47 37.274 E
       	5427357.0	1750195.7	       	41 17 28.560 S	174 47 37.562 E
       	5427357.3	1750217.5	       	41 17 28.535 S	174 47 38.499 E
       	5427361.3	1750244.9	       	41 17 28.389 S	174 47 39.669 E
       	5427365.5	1750263.8	       	41 17 28.241 S	174 47 40.480 E
       	5427367.3	1750273.8	       	41 17 28.176 S	174 47 40.909 E
       	5427372.0	1750302.2	       	41 17 28.003 S	174 47 42.125 E
       	5427384.2	1750307.7	       	41 17 27.605 S	174 47 42.352 E
       	5427363.5	1750324.6	       	41 17 28.264 S	174 47 43.095 E
       	5427383.4	1750333.5	       	41 17 27.612 S	174 47 43.457 E
       	5427391.0	1750362.5	       	41 17 27.348 S	174 47 44.700 E
       	5427404.3	1750403.3	       	41 17 26.888 S	174 47 46.440 E
       	5427417.4	1750421.8	       	41 17 26.452 S	174 47 47.224 E
       	5427430.8	1750435.1	       	41 17 26.009 S	174 47 47.781 E
       	5427453.3	1750448.2	       	41 17 25.270 S	174 47 48.327 E
       	5427478.0	1750464.5	       	41 17 24.458 S	174 47 49.004 E
       	5427507.2	1750476.1	       	41 17 23.505 S	174 47 49.479 E
       	5427563.9	1750495.0	       	41 17 21.653 S	174 47 50.237 E
       	5427589.8	1750516.6	       	41 17 20.802 S	174 47 51.144 E
       	5427626.0	1750579.9	       	41 17 19.583 S	174 47 53.832 E
       	5427643.8	1750609.5	       	41 17 18.988 S	174 47 55.087 E
       	5427662.7	1750641.3	       	41 17 18.354 S	174 47 56.436 E
       	5427688.1	1750681.0	       	41 17 17.503 S	174 47 58.120 E
       	5427857.1	1750938.3	       	41 17 11.854 S	174 48 09.029 E
       	5427339.1	1750134.8	       	41 17 29.181 S	174 47 34.961 E
       	5428187.6	1748780.4	       	41 17 02.582 S	174 46 36.010 E
       	5429130.0	1748909.5	       	41 16 31.952 S	174 46 40.729 E
       	5428417.0	1748630.5	       	41 16 55.248 S	174 46 29.367 E
       	5428418.3	1748630.8	       	41 16 55.204 S	174 46 29.378 E
       	5427669.2	1748340.0	       	41 17 19.677 S	174 46 17.538 E
       	5428353.7	1748620.2	       	41 16 57.306 S	174 46 28.979 E
       	5428555.4	1748823.6	       	41 16 50.633 S	174 46 37.541 E
       	5428619.2	1748953.2	       	41 16 48.477 S	174 46 43.052 E
       	5428676.8	1748980.3	       	41 16 46.595 S	174 46 44.168 E
       	5427101.5	1748658.3	       	41 17 37.865 S	174 46 31.716 E
       	5427108.5	1748661.6	       	41 17 37.637 S	174 46 31.852 E
       	5427094.1	1748697.0	       	41 17 38.080 S	174 46 33.385 E
       	5427088.5	1748705.8	       	41 17 38.257 S	174 46 33.769 E
       	5427491.3	1749047.1	       	41 17 24.973 S	174 46 48.084 E
       	5427408.7	1749032.1	       	41 17 27.661 S	174 46 47.512 E
       	5427365.2	1748981.8	       	41 17 29.105 S	174 46 45.388 E
       	5427252.6	1748963.6	       	41 17 32.767 S	174 46 44.703 E
       	5427199.7	1748930.0	       	41 17 34.505 S	174 46 43.308 E
       	5427178.5	1748908.1	       	41 17 35.204 S	174 46 42.386 E
       	5426955.1	1748821.2	       	41 17 42.505 S	174 46 38.848 E
       	5426891.4	1748795.6	       	41 17 44.586 S	174 46 37.803 E
       	5426874.8	1748760.2	       	41 17 45.146 S	174 46 36.297 E
       	5426738.1	1748703.3	       	41 17 49.617 S	174 46 33.971 E
       	5426964.8	1749140.5	       	41 17 41.977 S	174 46 52.558 E
       	5428708.5	1748687.3	       	41 16 45.762 S	174 46 31.550 E
       	5428659.1	1748689.4	       	41 16 47.361 S	174 46 31.683 E
       	5428591.3	1748681.5	       	41 16 49.565 S	174 46 31.404 E
